O*NET-SOC Code,Title,training_and_experience_related_work_experience_ranked,training_and_experience_on_site_training_ranked,training_and_experience_on_the_job_training_ranked,training_and_experience_importance_ranked,training_and_experience_job_related_apprenticeship_importance_value,training_and_experience_on_site_or_in_plant_training_on_site_training_value,training_and_experience_on_the_job_training_on_the_job_training_value,training_and_experience_related_work_experience_related_work_experience_value
51-2031.00,Engine and Other Machine Assemblers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,33.49,0.0,21.12
51-2041.00,Structural Metal Fabricators and Fitters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.76,26.35,18.1,42.52
51-2051.00,Fiberglass Laminators and Fabricators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.08,27.43,2.67,55.61
51-2061.00,Timing Device Assemblers and Adjusters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,9.11,13.88,15.88
51-2092.00,Team Assemblers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.54,17.94,6.74,38.56
51-3011.00,Bakers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.55,20.96,13.74,33.88
51-3021.00,Butchers and Meat Cutters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.73,0.0,8.2
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.08,6.56,7.86
51-3023.00,Slaughterers and Meat Packers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.63,7.36,33.72
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,17.88,5.94,54.43
51-3092.00,Food Batchmakers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.14,0.83,0.0,22.64
51-3093.00,Food Cooking Machine Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.01,5.49,2.82,18.17
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.21,0.13,0.0,43.12
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.75,1.23,0.0,43.03
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,20.46,1.78,30.42
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.46,49.67,23.82,24.97
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.62,5.61,3.95,28.54
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.11,15.41,13.26,37.65
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.42,1.42,9.62,12.6
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.49,16.67,7.72,16.6
51-4041.00,Machinists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.41,9.96,2.58,19.67
51-4051.00,Metal-Refining Furnace Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,33.02
51-4052.00,"Pourers and Casters, Metal",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.33,10.18,1.31,58.5
51-4061.00,"Model Makers, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.46,16.23,0.0,18.52
51-4062.00,"Patternmakers, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.33,21.87,1.95,0.0
51-4071.00,Foundry Mold and Coremakers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.46,36.13,16.59,56.05
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,26.42,12.15,21.99
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.01,12.67,0.0,41.46
51-4111.00,Tool and Die Makers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.55,0.0,0.0,6.72
51-4121.00,"Welders, Cutters, Solderers, and Brazers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.59,4.3,13.4
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.2,7.94,0.0,13.57
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.51,0.0,47.88
51-4192.00,"Layout Workers, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.56,24.81,7.71,9.39
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,29.57,14.13,50.87
51-4194.00,"Tool Grinders, Filers, and Sharpeners",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.25,18.46,19.98,21.53
51-5111.00,Prepress Technicians and Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,17.04,0.0,3.71
51-5112.00,Printing Press Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.1,27.89,2.73,34.82
51-5113.00,Print Binding and Finishing Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.85,1.93,15.8
51-6011.00,Laundry and Dry-Cleaning Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.61,16.14,17.64,64.16
51-6021.00,"Pressers, Textile, Garment, and Related Materials",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,6.55,4.07,17.5
51-6031.00,Sewing Machine Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,20.07,1.91,22.4
51-6041.00,Shoe and Leather Workers and Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.64,64.6,29.33,85.6
51-6042.00,Shoe Machine Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.0,3.24,0.0,50.79
51-6051.00,"Sewers, Hand",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.38,63.37,1.44,58.71
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.8,17.12,6.33,18.46
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,28.49,16.45,48.02
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,27.13,10.41,44.47
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.75,8.75,11.13
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.34,2.64,56.81
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.41,10.83,10.1,27.33
51-6092.00,Fabric and Apparel Patternmakers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,7.4,2.18,15.21
51-6093.00,Upholsterers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,37.27,11.81,9.81
51-7011.00,Cabinetmakers and Bench Carpenters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.64,27.81,13.28,22.09
51-7021.00,Furniture Finishers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,13.58,5.44,24.0
51-7031.00,"Model Makers, Wood",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,33.04,0.0,0.0
51-7032.00,"Patternmakers, Wood",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,4.79,0.0,10.35
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.37,7.97,34.02
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,30.98,0.0,21.69
51-8011.00,Nuclear Power Reactor Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,15.3
51-8012.00,Power Distributors and Dispatchers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.63,0.0,0.0,6.0
51-8013.00,Power Plant Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.05,1.54,0.0,4.01
51-8013.03,Biomass Plant Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.73,12.56,0.09,9.36
51-8013.04,Hydroelectric Plant Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.87,0.0,0.0,8.68
51-8021.00,Stationary Engineers and Boiler Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.87,0.0,0.0,5.44
51-8031.00,Water and Wastewater Treatment Plant and System Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.88,12.5,12.5,33.33
51-8091.00,Chemical Plant and System Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.14,42.09,0.0,50.88
51-8092.00,Gas Plant Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.53,7.37,0.0,12.1
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.03,6.56,8.46,11.47
51-8099.01,Biofuels Processing Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,12.01,0.0,38.29
51-9011.00,Chemical Equipment Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.4,1.69,1.69,56.07
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.27,0.0,0.0,47.18
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.0,0.0,0.0,30.77
51-9022.00,"Grinding and Polishing Workers, Hand",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.87,0.62,11.77,38.93
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.54,3.57,0.0,50.97
51-9031.00,"Cutters and Trimmers, Hand",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,45.54,5.59,32.44
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.8,1.91,4.05,39.09
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,34.43,0.99,18.54
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,28.84
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.49,0.0,0.0,43.9
51-9071.00,Jewelers and Precious Stone and Metal Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.77,10.14,0.0,21.06
51-9071.06,Gem and Diamond Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.35,14.36,0.0,5.03
51-9081.00,Dental Laboratory Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.9,5.68,5.68,23.93
51-9082.00,Medical Appliance Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.02,0.0,0.0,32.86
51-9083.00,Ophthalmic Laboratory Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,5.35,0.0,23.23
51-9111.00,Packaging and Filling Machine Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,39.13,9.91,36.64
51-9123.00,"Painting, Coating, and Decorating Workers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,57.25,16.43,45.89
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,29.21,3.78,38.58
51-9141.00,Semiconductor Processing Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.8,0.08,48.19
51-9151.00,Photographic Process Workers and Processing Machine Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,38.97,0.0,43.68
51-9161.00,Computer Numerically Controlled Tool Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.46,5.82,6.56,29.44
51-9162.00,Computer Numerically Controlled Tool Programmers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.75,0.0,0.0,1.06
51-9191.00,Adhesive Bonding Machine Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,23.83,9.34,42.69
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.71,24.49,27.75,53.39
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.57,5.32,34.01
51-9194.00,Etchers and Engravers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,20.37,0.0,26.58
51-9195.03,"Stone Cutters and Carvers, Manufacturing",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,6.86,1.47,37.98
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.7,8.7,0.0,13.04
51-9195.05,"Potters, Manufacturing",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.81,6.5,0.0,7.47
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,22.46,7.04,7.33
51-9197.00,Tire Builders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.69,12.17,2.29,54.65
51-9198.00,Helpers--Production Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.76,25.37,14.65,44.53
53-1041.00,Aircraft Cargo Handling Supervisors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,5.64
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.28,0.0,2.51,2.18
53-1042.01,Recycling Coordinators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,14.57,13.3,23.86
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.74,2.53,0.0,0.0
53-1044.00,First-Line Supervisors of Passenger Attendants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.53,1.58,0.0,2.3
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.72,0.0,0.0,0.0
53-2012.00,Commercial Pilots,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.41,0.0,0.0,0.0
53-2021.00,Air Traffic Controllers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,1.6,1.59,42.91
53-2022.00,Airfield Operations Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.07,5.03,3.11,20.5
53-2031.00,Flight Attendants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.55,13.6,10.41,48.77
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.0,0.0,0.0,47.98
53-3031.00,Driver/Sales Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.73,1.17,35.54,43.48
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.84,12.4,12.83,31.83
53-3033.00,Light Truck Drivers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.26,1.2,1.61,44.2
53-3051.00,"Bus Drivers, School",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.05,0.0,5.96,33.65
53-3052.00,"Bus Drivers, Transit and Intercity",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.68,3.01,0.0,37.85
53-3053.00,Shuttle Drivers and Chauffeurs,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.82,0.13,17.43,24.47
53-4011.00,Locomotive Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.18,0.0,0.0,46.55
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.26,0.79,0.0,75.03
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.05,0.0,0.0,3.16
53-4031.00,Railroad Conductors and Yardmasters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,4.2,4.35,69.79
53-4041.00,Subway and Streetcar Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.14,5.15,3.74,50.97
53-5011.00,Sailors and Marine Oilers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.53,0.0,0.0,34.0
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.39,1.38,7.42
53-5022.00,Motorboat Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.46,32.5,23.89,37.42
53-5031.00,Ship Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.89,3.08,0.0,3.08
53-6011.00,Bridge and Lock Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.6,5.0,5.0,40.0
53-6021.00,Parking Attendants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,41.15,17.45,46.84
53-6031.00,Automotive and Watercraft Service Attendants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,18.57,16.06,52.46
53-6032.00,Aircraft Service Attendants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.48,0.17,0.0,89.05
53-6041.00,Traffic Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,4.9,0.0,17.41
53-6051.01,Aviation Inspectors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.62,3.1,0.0,0.0
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,2.11,1.38,1.46
53-6061.00,Passenger Attendants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,0.18,7.41,73.82
53-7011.00,Conveyor Operators and Tenders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,5.24,0.09,54.18
53-7021.00,Crane and Tower Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.39,0.0,20.13
53-7031.00,Dredge Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,5.09,1.84,5.68
53-7041.00,Hoist and Winch Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.56,0.66,0.0,19.39
53-7051.00,Industrial Truck and Tractor Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.65,0.0,10.6,23.69
53-7061.00,Cleaners of Vehicles and Equipment,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.82,21.8,13.53,42.27
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.59,21.14,12.34,52.87
53-7062.04,Recycling and Reclamation Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.51,13.86,26.2
53-7063.00,Machine Feeders and Offbearers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,19.23,9.4,32.49
53-7064.00,"Packers and Packagers, Hand",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.49,58.01,23.99,59.63
53-7065.00,Stockers and Order Fillers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.41,1.75,9.24,38.12
53-7071.00,Gas Compressor and Gas Pumping Station Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,34.98
53-7072.00,"Pump Operators, Except Wellhead Pumpers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.97,4.69,17.33,16.68
53-7073.00,Wellhead Pumpers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.68,10.8,22.95
53-7081.00,Refuse and Recyclable Material Collectors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.06,16.56,0.0,19.49
53-7121.00,"Tank Car, Truck, and Ship Loaders",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,13.13,4.16,35.93
